127.0.0.1 - - [20/Apr/2023:11:06:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Apr/2023:11:06:31 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2575
0:0:0:0:0:0:0:1 - - [20/Apr/2023:11:06:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2023:11:06:38 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:11:06:39 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:11:06:39 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:11:06:54 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:11:06:54 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:11:08:41 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:01:17 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:17 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:21 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:21 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:22 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:22 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:22 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:23 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:23 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:23 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:23 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:24 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:24 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:24 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:28 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:29 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:29 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:29 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:15:30 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:43:49 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:03 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:03 +0900] "GET /css/mainAlarmFalse.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:03 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:03 +0900] "GET /css/mainAlarmFalse.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:03 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:04 +0900] "GET /css/mainAlarmFalse.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:04 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:04 +0900] "GET /css/mainAlarmFalse.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:04 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:04 +0900] "GET /css/mainAlarmFalse.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:04 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:05 +0900] "GET /css/mainAlarmFalse.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:05 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:05 +0900] "GET /css/mainAlarmFalse.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:05 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:05 +0900] "GET /css/mainAlarmFalse.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:17 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:17 +0900] "GET /css/mainAlarmFalse.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:26 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:26 +0900] "GET /sns-project/sns/css/mainAlarmFalse.png HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:27 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:27 +0900] "GET /sns-project/sns/css/mainAlarmFalse.png HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:27 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:27 +0900] "GET /sns-project/sns/css/mainAlarmFalse.png HTTP/1.1" 404 857
